SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net																																																																								
#MM2 aggiornato alla 3.5																																																																										
																																																																										
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells										
Devil (Amnizu)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,60	FACE:5	REACH:5			PREALIGN:LE	AUTO:LANG|.CLEAR	AUTO:LANG|Infernal|Common	BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Diplomacy,Search|2|TYPE=Racial				BONUS:STAT|STR|2		BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|4				MONCSKILL:Balance|Concentration|Diplomacy|Hide|Jump|Knowledge (The Planes)|Search|Sense Motive|Spellcraft|Spot|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Touch,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d4		ABILITY:Special Ability|AUTOMATIC|Feeblemind Touch	ABILITY:Special Ability|AUTOMATIC|Regeneration	ABILITY:Special Ability|AUTOMATIC|Secure Intelligence	ABILITY:Special Ability|AUTOMATIC|Summon Baatezu ~ Amnizu			SR:18			MONSTERCLASS:Outsider:9	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Lawful|Evil	TYPE:Outsider					HITDICEADVANCEMENT:18,27	LEVELADJUSTMENT:5	CR:7	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Major Image	SPELLS:Innate|TIMES=3|CASTERLEVEL=14|Fireball	SPELLS:Innate|TIMES=1|CASTERLEVEL=14|Sequester	BONUS:VAR|RegenerationRate|4	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|3					
Devil (Malebranche)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,120	FACE:10	REACH:15			PREALIGN:LE	AUTO:LANG|.CLEAR	AUTO:LANG|Infernal|Common	BONUS:COMBAT|AC|17|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Diplomacy,Search|2|TYPE=Racial				BONUS:STAT|STR|20	BONUS:STAT|DEX|-2	BONUS:STAT|CON|12		BONUS:STAT|WIS|-2				MONCSKILL:Balance|Bluff|Climb|Diplomacy|Intimidate|Jump|Listen|Move Silently|Search|Spot|Tumble			AUTO:WEAPONPROF|Trident						LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6|Gore,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Charge ~ Malebranche	ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Fear Aura|Malebranche Fear Aura	ABILITY:Special Ability|AUTOMATIC|Regeneration			SR:20	DR:10/Good		MONSTERCLASS:Outsider:16	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Lawful|Evil	TYPE:Outsider					HITDICEADVANCEMENT:32,48		CR:9	SOURCEPAGE:MM2		BONUS:VAR|RegenerationRate|8	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|3							
Dinosaur (Cryptolidus)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Swim,60	FACE:10	REACH:5	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Hide|Listen|Spot|Swim									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Swallow Whole							MONSTERCLASS:Animal:3	RACETYPE:Animal	RACESUBTYPE:Aquatic	TYPE:Animal					HITDICEADVANCEMENT:6,9		CR:3	SOURCEPAGE:MM2											
Dinosaur (Allosaurus)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,50	FACE:15	REACH:15	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d4		ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Swallow Whole	ABILITY:Special Ability|AUTOMATIC|Rake	ABILITY:Special Ability|AUTOMATIC|Trample					MONSTERCLASS:Animal:10	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:20,30		CR:7	SOURCEPAGE:MM2											
Dinosaur (Ankylosaurus)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,20	FACE:15	REACH:10	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|16|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18	BONUS:STAT|DEX|-4	BONUS:STAT|CON|16	BONUS:STAT|INT|-10	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|AUTOMATIC|Trample								MONSTERCLASS:Animal:9	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:18,27		CR:7	SOURCEPAGE:MM2											
Dinosaur (Quetzalcoatlus)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,20,Fly,100	FACE:15	REACH:10	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|6				MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d10|Wing,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|AUTOMATIC|Swallow Whole	ABILITY:Special Ability|AUTOMATIC|Quetzalcoatlus Feats							MONSTERCLASS:Animal:10	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:20,30		CR:8	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2								
Dinosaur (Seismosaurus)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:C	MOVE:Walk,20	FACE:40	REACH:25	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|30	BONUS:STAT|DEX|-2	BONUS:STAT|CON|18	BONUS:STAT|INT|-10	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,4d10		ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|AUTOMATIC|Trample								MONSTERCLASS:Animal:32	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:64		CR:12	SOURCEPAGE:MM2											
Dinosaur (Spinosaurus)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40	FACE:20	REACH:20	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot,Listen|2|TYPE=Racial				BONUS:STAT|STR|26	BONUS:STAT|DEX|2	BONUS:STAT|CON|12	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Scent	ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Swallow Whole	ABILITY:Special Ability|AUTOMATIC|Trample	ABILITY:Special Ability|AUTOMATIC|Frightful Presence					MONSTERCLASS:Animal:20	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:40,60		CR:13	SOURCEPAGE:MM2		DEFINE:FrightfulPresRange|30									
Dire Animal (Dire Horse)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60	FACE:10	REACH:5	VISION:Low-light		PREALIGN:TN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|12	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Scent|Training ~ Horse									MONSTERCLASS:Animal (Will):8	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:16,24		CR:4	SOURCEPAGE:MM2											
Dire Animal (Dire Elk)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,50	FACE:15	REACH:10	VISION:Low-light		PREALIGN:TN			BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|4|TYPE=Racial				BONUS:STAT|STR|14		BONUS:STAT|CON|10	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6|Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d4	NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d8	ABILITY:Special Ability|AUTOMATIC|Trample	ABILITY:Special Ability|AUTOMATIC|Scent								MONSTERCLASS:Animal (Will):12	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:16,36		CR:7	SOURCEPAGE:MM2											
Dire Animal (Dire Elephant)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,30	FACE:20	REACH:10	VISION:Low-light		PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|30		BONUS:STAT|CON|20	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d8|Stamp,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d8	NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,4d6	ABILITY:Special Ability|AUTOMATIC|Trample	ABILITY:Special Ability|AUTOMATIC|Scent|Training ~ Elephant								MONSTERCLASS:Animal (Will):20	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:30,45		CR:10	SOURCEPAGE:MM2											
Dire Animal (Dire Toad)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Low-light		PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Listen,Spot|4|TYPE=Racial	BONUS:SKILL|Jump|8|TYPE=Racial				BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Hide|Jump|Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4	NATURALATTACKS:Tongue,Weapon.Natural.Finesseable.Ranged.Slashing,*1,0	ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Swallow Whole							MONSTERCLASS:Animal (Will):4	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:6,10		CR:3	SOURCEPAGE:MM2											
Dire Animal (Dire Hawk)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,10,Fly,80	FACE:5	REACH:5	VISION:Low-light		PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Spot|8|TYPE=Racial				BONUS:STAT|STR|2	BONUS:STAT|DEX|12	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6											MONSTERCLASS:Animal (Will):5	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:8,12		CR:2	SOURCEPAGE:MM2		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|3								
Dire Animal (Dire Snake)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,30,Climb,20,Swim,20	FACE:15	REACH:10	VISION:Low-light		PREALIGN:TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Listen,Spot|4|TYPE=Racial	BONUS:SKILL|Balance|8|TYPE=Racial			BONUS:STAT|STR|14	BONUS:STAT|DEX|10	BONUS:STAT|CON|6	BONUS:STAT|INT|-10	BONUS:STAT|WIS|2				MONCSKILL:Balance|Climb|Hide|Listen|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Constrict	ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Scent						MONSTERCLASS:Animal (Will):7	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:12,16		CR:5	SOURCEPAGE:MM2	ABILITY:Special Ability|AUTOMATIC|Constrict										
Dread Guard			STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5			PREALIGN:TN									BONUS:STAT|STR|6			BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Spot	AUTO:SHIELDPROF|SHIELDTYPE=Light.Metal		AUTO:WEAPONPROF|Longsword	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium					LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Resistance to Cold	ABILITY:Special Ability|AUTOMATIC|Resistance to Fire								MONSTERCLASS:Construct:5	RACETYPE:Construct		TYPE:Construct					HITDICEADVANCEMENT:10,15		CR:3	SOURCEPAGE:MM2		BONUS:VAR|ColdResistanceBonus|10	BONUS:VAR|FireResistanceBonus|10								
Dune Stalker			STARTFEATS:1	SIZE:M	MOVE:Walk,40,Climb,20	FACE:5	REACH:5			PREALIGN:NE	AUTO:LANG|Common|Terran		BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Intimidate|4|TYPE=Racial				BONUS:STAT|STR|6		BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|4				MONCSKILL:Balance|Climb|Hide|Intimidate|Jump|Knowledge (Nature)|Listen|Move Silently|Search|Spot|Survival|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Kiss of Death (con)	ABILITY:Special Ability|AUTOMATIC|Improved Tracking						DR:10/Magic		MONSTERCLASS:Outsider:6	RACETYPE:Outsider	RACESUBTYPE:Earth	TYPE:Outsider					HITDICEADVANCEMENT:12,18	LEVELADJUSTMENT:5	CR:9	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=3|CASTERLEVEL=6|Shout,14+CHA	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=6|Jump,11+CHA									
Effigy			STARTFEATS:1	SIZE:M	MOVE:Fly,60	FACE:5	REACH:5			PREALIGN:CE			BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|4		BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Escape Artist|Hide|Intimidate|Jump|Listen|Search|Spot|Tumble									LEGS:0	HANDS:2				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Finesseable.Piercing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Energy Drain	ABILITY:Special Ability|AUTOMATIC|Infuse					SR:28			MONSTERCLASS:Undead:27	RACETYPE:Undead	RACESUBTYPE:Incorporeal|Fire	TYPE:Undead					HITDICEADVANCEMENT:54		CR:17	SOURCEPAGE:MM2	BONUS:VAR|EnergyDrainLevels|2	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|5								
Elemental Weird (Air Weird)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,60	FACE:10	REACH:10	VISION:Breathsense (60')					BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Intimidate|TYPE.Knowledge|Listen|Sense Motive|Spot									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Air Mastery	ABILITY:Special Ability|AUTOMATIC|Air Pool		ABILITY:Special Ability|AUTOMATIC|Regeneration			SR:25	DR:10/-		MONSTERCLASS:Air Weird:15	RACETYPE:Elemental	RACESUBTYPE:Elemental Weird|Air	TYPE:Elemental					HITDICEADVANCEMENT:30,45		CR:12	SOURCEPAGE:MM2		BONUS:VAR|RegenerationRate|10	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|5							
Elemental Weird (Earth Weird)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Burrow,30	FACE:10	REACH:10	VISION:Tremorsense (60')					BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Intimidate|TYPE.Knowledge|Listen|Sense Motive|Spot									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Earth Mastery	ABILITY:Special Ability|AUTOMATIC|Earth Pool		ABILITY:Special Ability|AUTOMATIC|Regeneration			SR:25	DR:10/-		MONSTERCLASS:Earth Weird:15	RACETYPE:Elemental	RACESUBTYPE:Elemental Weird|Earth	TYPE:Elemental					HITDICEADVANCEMENT:30,45		CR:12	SOURCEPAGE:MM2		BONUS:VAR|RegenerationRate|10									
Elemental Weird (Fire Weird)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,60	FACE:10	REACH:10						BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Intimidate|TYPE.Knowledge|Listen|Sense Motive|Spot									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6			ABILITY:Special Ability|AUTOMATIC|Fire Pool	ABILITY:Special Ability|AUTOMATIC|Burn	ABILITY:Special Ability|AUTOMATIC|Regeneration			SR:25	DR:10/-		MONSTERCLASS:Fire Weird:15	RACETYPE:Elemental	RACESUBTYPE:Elemental Weird|Fire	TYPE:Elemental					HITDICEADVANCEMENT:30,45		CR:12	SOURCEPAGE:MM2		BONUS:VAR|RegenerationRate|10	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|5							
Elemental Weird (Water Weird)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Swim,30	FACE:10	REACH:10						BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Intimidate|TYPE.Knowledge|Listen|Sense Motive|Spot									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Water Mastery	ABILITY:Special Ability|AUTOMATIC|Water Pool	ABILITY:Special Ability|AUTOMATIC|Drench	ABILITY:Special Ability|AUTOMATIC|Regeneration			SR:25	DR:10/-		MONSTERCLASS:Water Weird:15	RACETYPE:Elemental	RACESUBTYPE:Elemental Weird|Water	TYPE:Elemental					HITDICEADVANCEMENT:30,45		CR:12	SOURCEPAGE:MM2		BONUS:VAR|RegenerationRate|10									
Ether Scarab			STARTFEATS:1	SIZE:T	MOVE:Walk,10	FACE:2.5	REACH:0			PREALIGN:TN									BONUS:STAT|STR|-2	BONUS:STAT|DEX|4		BONUS:STAT|INT|-8	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-6			MONCSKILL:Listen|Spot									LEGS:6	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d3		ABILITY:Special Ability|AUTOMATIC|Wounding	ABILITY:Special Ability|AUTOMATIC|Death Burst	ABILITY:Special Ability|AUTOMATIC|Planar Rip							MONSTERCLASS:Outsider:1	RACETYPE:Outsider		TYPE:Outsider					HITDICEADVANCEMENT:3		CR:1	SOURCEPAGE:MM2											
Doppelganger (Ethereal)	OUTPUTNAME:[NAME] Doppelganger		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Common|Infernal	LANGBONUS:Auran,Aquan,Ignan,Terran	BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-2	BONUS:STAT|DEX|2		BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Bluff|Diplomacy|Disguise|Intimidate|Listen|Sense Motive|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Assume Identity	ABILITY:Special Ability|AUTOMATIC|Brain Lock	ABILITY:Special Ability|AUTOMATIC|Mind Wipe	ABILITY:Special Ability|AUTOMATIC|Fast Healing			SR:20	DR:10/Magic and Piercing		MONSTERCLASS:Monstrous Humanoid:20	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Shapechanger	TYPE:Monstrous Humanoid							CR:15	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Plane Shift,17+CHA	BONUS:VAR|FastHealing|3									
Ethereal Slayer			STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:10			PREALIGN:CE			BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|8	BONUS:STAT|CON|4	BONUS:STAT|INT|-6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|-2			MONCSKILL:Hide|Jump|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6								SR:23	DR:10/Magic		MONSTERCLASS:Outsider:16	RACETYPE:Outsider		TYPE:Outsider					HITDICEADVANCEMENT:24,32,40,48		CR:12	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=9|Detect Magic|Dimensional Anchor	SPELLS:Innate|TIMES=2|CASTERLEVEL=9|Plane Shift									
Famine Spirit			STARTFEATS:1	SIZE:M	MOVE:Walk,60	FACE:5	REACH:5			PREALIGN:NE			BONUS:COMBAT|AC|18|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6			BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Balance|Climb|Jump|Listen|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Aura of Pain	ABILITY:Special Ability|AUTOMATIC|Vorpal Bite	ABILITY:Special Ability|AUTOMATIC|Create Spawn	ABILITY:Special Ability|AUTOMATIC|See Invisibility						MONSTERCLASS:Undead:32	RACETYPE:Undead		TYPE:Undead					HITDICEADVANCEMENT:64		CR:19	SOURCEPAGE:MM2	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Ethereal Jaunt	BONUS:VAR|AuraOfPainRadius|60									
