SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net																									
																											
###Block: AB																											
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose	
Lahm's Finger Darts			TYPE:Arcane.Divine	CLASSES:Corrupt=2		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to five creatures, no two of which can be more than 15-ft apart.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Caster's fingers become projectiles that deal 1d4 DEX damage. Corrupt:1 STR damage/dart	SOURCEPAGE:BoVD							BONUS:STAT|STR|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=10|TITLE=Choose STR damage.	TEMPDESC:Corrupt: 1 points of STR damage/dart
Love's Pain			TYPE:Arcane.Divine	CLASSES:Corrupt=3		SCHOOL:Evocation		DESCRIPTOR:Evil|Mind-Affecting	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:one living creature		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Deals 1d6 damage/2 levels to subject's dearest loved one. Corrupt:1d6 INT damage	SOURCEPAGE:BoVD							BONUS:STAT|INT|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose INT damage.	TEMPDESC:Corrupt: 1d6 points of INT damage.
Plague of Nightmares			TYPE:Arcane.Divine	CLASSES:Corrupt=8		SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	COMPS:V, S, F, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one living creature		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject takes 1d4 CON damage and does not heal. Corrupt:1d6 STR damage.	SOURCEPAGE:BoVD							BONUS:STAT|STR|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose STR damage.	TEMPDESC:Corrupt: 1d6 points of STR damage.
Power Leech BoVD	OUTPUTNAME:Power Leech		TYPE:Arcane.Divine	CLASSES:Corrupt=5		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:one living creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Caster drains subject's ability score 1 point/round and gains +1 bonus per point. Corrupt:1 WIS drain.	SOURCEPAGE:BoVD							BONUS:STAT|WIS|-1*(%CHOICE)|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=1|TITLE=Choose WIS drain.	TEMPDESC:Corrupt: 1 points of WIS drain..
Rapture of Rupture			TYPE:Arcane.Divine	CLASSES:Corrupt=7		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one living creature touched/level		DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Subject takes 6d6 damage and is stunned, then takes 1d6 damage/round thereafter. Corrupt:1 STR damage/target.	SOURCEPAGE:BoVD							BONUS:STAT|STR|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=20|TITLE=Choose STR damage.	TEMPDESC:Corrupt: 1 points of STR damage per target touched.
Red Fester			TYPE:Arcane.Divine	CLASSES:Corrupt=3		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one creature touched		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject takes 1d6 STR damage and 1d4 CHA damage. Corrupt:1d6 STR damage.	SOURCEPAGE:BoVD							BONUS:STAT|STR|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose STR damage.	TEMPDESC:Corrupt: 1d6 points of STR damage.
Rotting Curse of Urfestra			TYPE:Arcane.Divine	CLASSES:Corrupt=3		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject takes 1d6 CON damage per hour. Corrupt:1d6 STR damage.	SOURCEPAGE:BoVD							BONUS:STAT|STR|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose STR damage.	TEMPDESC:Corrupt: 1d6 points of STR damage.
Seething Eyebane			TYPE:Arcane.Divine	CLASSES:Corrupt=1		SCHOOL:Transmutation		DESCRIPTOR:Acid|Evil	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:Instantaneous	SAVEINFO:Fortitude negates (see text)	SPELLRES:Yes	DESC:Subject is blinded and all within 5-ft take 1d6 damage. Corrupt:1d6 CON damage.	SOURCEPAGE:BoVD							BONUS:STAT|CON|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose CON damage.	TEMPDESC:Corrupt: 1d6 points of CON damage.
Serpent of Theggeron			TYPE:Arcane.Divine	CLASSES:Corrupt=3		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:S, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Caster's arms become serpents with 10-ft reach, +10 attack and 1d8 damage plus poison. Corrupt:1d6 INT damage.	SOURCEPAGE:BoVD							BONUS:STAT|INT|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose INT damage.	TEMPDESC:Corrupt: 1d6 points of INT damage.
Touch of Juiblex			TYPE:Arcane.Divine	CLASSES:Corrupt=3		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:creature touched		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject turns to green slime in 4 rounds. Corrupt:1d6 STR damage.	SOURCEPAGE:BoVD							BONUS:STAT|STR|-1*(%CHOICE)|TYPE=Temporary|PREAPPLY:PC	CHOOSE:NUMBER|MIN=1|MAX=6|TITLE=Choose STR damage.	TEMPDESC:Corrupt: 1d6 points of STR damage.
