SOURCELONG:Magic of Faerun	SOURCESHORT:MoF	SOURCEWEB:http://www.gozzilioni.net																										
###Block: AB																												
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose		
Poison Vines			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Spread of 10-ft radius/level		DURATION:10 minutes/level	SAVEINFO:Fort negates; See text	SPELLRES:Yes	DESC:As Vine Mine, but the vines are poisonous.	SOURCEPAGE:MoF										
Prismatic Eye			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Evocation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Magical eye.		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Orb produces individual prismatic rays as touch attacks.	SOURCEPAGE:MoF										
Puppeteer			TYPE:Arcane	CLASSES:Bard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion		COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target mimics your actions.	SOURCEPAGE:MoF										
Quillfire			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:Your hand sprouts poisonous quills useful for melee or ranged attacks.	SOURCEPAGE:MoF										
Ram's Might			TYPE:Divine	CLASSES:Druid=0|Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Yourr hands become harder and your unarmed attacks inflict normal damage.	SOURCEPAGE:MoF										
Remedy Moderate Wounds			TYPE:Divine	CLASSES:Cleric=3|Druid=2		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:10 rounds + 1 round/2 levels	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Targer gains fast healing 2 for 10 rounds +1 round/2 levels.	SOURCEPAGE:MoF										
Reveille			TYPE:Arcane	CLASSES:Bard=3		SCHOOL:Necromancy		DESCRIPTOR:Language-Dependent|Sonic	COMPS:V, S	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:One recently dead creature		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Target dead creature speaks a short sentence about what caused its death.	SOURCEPAGE:MoF										
Revenance			TYPE:Arcane.Divine	CLASSES:Bard=5|Paladin=4		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S, M, DF	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Dead ally touched.		DURATION:1 minute/level	SAVEINFO:None (harmless); See Text	SPELLRES:Yes	DESC:Slain ally is restored to life for 1 minute/level.	SOURCEPAGE:MoF										
Reverse Arrows			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:As Protection from Arrows, but negated arrows turn back upon their source.	SOURCEPAGE:MoF										
Righteous Fury			TYPE:Divine	CLASSES:Paladin=3		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Gain temporary hp, +2 natural armor, +2 STR and DEX. Undead that strike you take 1 point.	SOURCEPAGE:MoF										
Rosemantle			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Protect target from effect that cause pain.	SOURCEPAGE:MoF										
Safe Clearing			TYPE:Divine	CLASSES:Ranger=3		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:30-ft radius spread		DURATION:1 hour/level	SAVEINFO:Will negates (object)	SPELLRES:No	DESC:As Sanctuary, but protects an area and lasts 1 hour/level.	SOURCEPAGE:MoF										
Scent			TYPE:Arcane.Divine	CLASSES:Druid=2|Ranger=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Grants the scent ability for 1 hour/level.	SOURCEPAGE:MoF										
Scintillating Sphere			TYPE:Arcane			SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft radius spread		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:20-ft radius spread deals 1d6 elevtricity/level.	SOURCEPAGE:MoF										
Seek Eternal Rest			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Turn undead as a paladin two level higher.	SOURCEPAGE:MoF										
Shadow Hand			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:5-ft hand		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Medium-sized hand attacks, blocks opponents or carries items.	SOURCEPAGE:MoF										
Shadow Well			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target enters gloomy pocket plane and emerges frightened.	SOURCEPAGE:MoF										
Share Husk			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Divination			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Animal touched		DURATION:Concentration	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See and hear through the senses of a touched animal.	SOURCEPAGE:MoF										
Shatterfloor			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:15-ft-radius spread		DURATION:Instantaneous	SAVEINFO:Will half	SPELLRES:Yes	DESC:Deals 1d4/level sonic damage plus damage floor surfaces 6 inches deep.	SOURCEPAGE:MoF										
Shelgarn's Persistent Blade			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One small blade		DURATION:1 round/2 levels	SAVEINFO:None	SPELLRES:Yes	DESC:Blade of force attacks target, automatically flanks.	SOURCEPAGE:MoF										
Shroud of Undeath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:Negative energy shroud makes undead perceive you as undead.	SOURCEPAGE:MoF										
Silent Portal			TYPE:Arcane.Divine	CLASSES:Assassin=1|Sorcerer,Wizard=0		SCHOOL:Illusion			COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Any single portal		DURATION:1 hour/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Negates sound from door or window.	SOURCEPAGE:MoF										
Silverbeard			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Personal		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You grow a hard silver beard that gives +2 bonus to armor.	SOURCEPAGE:MoF										
Simbul's Skeletal Deliquescence			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 day/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Target becomes a soft-bodied oozelike creature.	SOURCEPAGE:MoF										
Simbul's Spellmatrix			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Up to four of your spells.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Magical matrix stores spells to be cast later as quickened spells.	SOURCEPAGE:MoF		COST:500								
Simbul's Spell Sequencer			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Up to four of your spells.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Store up to four spells of 4th level or lower to be released later.	SOURCEPAGE:MoF		COST:1000								
Simbul's Spell Trigger			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Up to four of your spells.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Store up to four spells of 7th level or lower to be released later.	SOURCEPAGE:MoF		COST:1500								
Simbul's Synostodweomer			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:One of your spell		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:Channel a spell into positive energy to cure 1d6/spell level.	SOURCEPAGE:MoF										
Skeletal Guard			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One or more finger bones.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Creates ine skeleton/level that is resistant to turning.	SOURCEPAGE:MoF		COST:50								
Skull of Secrets			TYPE:Divine			SCHOOL:Illusion	SUBSCHOOL:Shadow		COMPS:V, S	CASTTIME:1 full round	RANGE:Close	TARGETAREA:Intangible skull		DURATION:Permanent until discharged	SAVEINFO:Reflex half; See text	SPELLRES:Yes	DESC:Intangible skull stores message and can be triggered to breathe fire.	SOURCEPAGE:MoF										
Smell of Fear			TYPE:Divine	CLASSES:Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Target's aroma triples the chances of wandering encounters.	SOURCEPAGE:MoF										
Snakebite			TYPE:Divine	CLASSES:Druid=3|Ranger=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:Your arm turn into poisonous snake you can use to attack.	SOURCEPAGE:MoF										
Songbird			TYPE:Arcane	CLASSES:Bard=0		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You		DURATION:Performance + 1 hour or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Perform and gain +1 on your next CHA check.	SOURCEPAGE:MoF										
Spectral Stag			TYPE:Divine			SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:One quasi-real staglike creature.		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Phantom stag can bull rush and be a mount.	SOURCEPAGE:MoF										
Speechlink			TYPE:Arcane	CLASSES:Bard=4		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and one creature touched.		DURATION:10 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You and the target can verbally communicate at any distance.	SOURCEPAGE:MoF										
Speed Swim			TYPE:Arcane.Divine	CLASSES:Druid=1|Ranger=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Target gains swim speed 30.	SOURCEPAGE:MoF										
Spell Engine			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Abjuration			COMPS:V, S, M, XP	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:5-ft radius magical wheel		DURATION:See text	SAVEINFO:None	SPELLRES:Yes	DESC:Magical energy disk absorbs incoming spell.	SOURCEPAGE:MoF										
Spell Enhancer			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V	CASTTIME:See text	RANGE:Personal	TARGETAREA:One of your spell		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:Cast as a free action and gives +2 to the DC of the next spell you cast.	SOURCEPAGE:MoF										
Spell Phylactery			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Scroll touched.		DURATION:Permanent until triggered	SAVEINFO:None (object)	SPELLRES:No	DESC:Scroll activates upon you if conditions are met.	SOURCEPAGE:MoF										
Spell Shield			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Target gains +3 resistance bonus on saving throws against spells and spell-like abilities.	SOURCEPAGE:MoF										
Spellmantle			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Creature touched		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As Spell Immunity, but negated spells triggers a helpful spell upon the target.	SOURCEPAGE:MoF										
Spider Poison			TYPE:Arcane.Divine	CLASSES:Assassin=3|Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Instantaneous	SAVEINFO:Fort negates; See text	SPELLRES:Yes	DESC:Touch deals 1d6 STR damage, repeats in 1 minute.	SOURCEPAGE:MoF										
Spirit Worm			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:1 round/level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Target takes 1 point of CON damage every round for 1 round/level.	SOURCEPAGE:MoF										
Stalking Brand			TYPE:Divine	CLASSES:Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 day/level	SAVEINFO:None	SPELLRES:Yes	DESC:Target marked with symbol you can see despite disguise	SOURCEPAGE:MoF										
Steeldance			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Two daggers		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Daggers become medium flying animated object that attack foes.	SOURCEPAGE:MoF										
Stone Bones			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Corporeal undead creature touched		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Corporeal undead gains +3 natural armor bonus.	SOURCEPAGE:MoF					TEMPBONUS:ANYPC|COMBAT|AC|3|TYPE=NaturalArmor					
Stone Shatter			TYPE:Arcane	CLASSES:Bard=4		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One stone object		DURATION:Instantaneous	SAVEINFO:See text (object)	SPELLRES:See Text	DESC:Shatter a stone object or creature.	SOURCEPAGE:MoF										
Stone Walk			TYPE:Divine			SCHOOL:Transmutation	SUBSCHOOL:Teleportation		COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Stone touched.		DURATION:Permanent until discharged	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:Linked areas allow multiple teleportations.	SOURCEPAGE:MoF										
Stonehold			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Earth	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 10-ft square/level		DURATION:1 day/level	SAVEINFO:See text (object)	SPELLRES:Yes	DESC:Stony arm trap grapples and damages creatures.	SOURCEPAGE:MoF										
Stormrage			TYPE:Divine			SCHOOL:Transmutation		DESCRIPTOR:Electricity	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Fly, Win Wall, protection from strong winds and make electrical attacks.	SOURCEPAGE:MoF										
Storm Tower			TYPE:Divine	CLASSES:Druid=7		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:100-ft-tall, 20-ft-radius spread.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Tower of swirling clouds absorb electricity, gives concealment and prevents movement.	SOURCEPAGE:MoF										
Strategic Charge			TYPE:Divine	CLASSES:Blackguard=1		SCHOOL:Abjuration			COMPS:V, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Gain the benefit of the Mobility feat.	SOURCEPAGE:MoF										
Strength of Stone			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Bull's Strength that ends if you lose contact with the ground.	SOURCEPAGE:MoF										
Summon Undead I			TYPE:Divine	CLASSES:Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, F	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One summoned creature.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summons undead to fight for you.	SOURCEPAGE:MoF										
Summon Undead II			TYPE:Divine	CLASSES:Sorcerer,Wizard=2		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, F	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more summoned creatures, no two of which can be more than 30-dt. Apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summons undead to fight for you.	SOURCEPAGE:MoF										
Summon Undead III			TYPE:Divine	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, F	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more summoned creatures, no two of which can be more than 30-dt. Apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summons undead to fight for you.	SOURCEPAGE:MoF										
Summon Undead IV			TYPE:Divine	CLASSES:Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, F	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more summoned creatures, no two of which can be more than 30-dt. Apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summons undead to fight for you.	SOURCEPAGE:MoF										
Summon Undead V			TYPE:Divine	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, F	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more summoned creatures, no two of which can be more than 30-dt. Apart.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summons undead to fight for you.	SOURCEPAGE:MoF										
Suppress Glyph			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:100 ft.	TARGETAREA:100-ft radius emanation centered on you		DURATION:1 minute/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:You notice but do not trigger magical writing traps.	SOURCEPAGE:MoF										
Surefoot			TYPE:Divine	CLASSES:Ranger=1		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:+10 bonus on Balance checks.	SOURCEPAGE:MoF									TEMPBONUS:PC|SKILL|Balance|10|TYPE=Competence	TEMPDESC:Grants Balance bonus
Symbol of Spell Loss			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=8		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:0 ft.; see text	TARGETAREA:One symbol		DURATION:See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Triggered rune slays nearby creatures.	SOURCEPAGE:MoF		COST:10000								
Teleport (Mass)	OUTPUTNAME:Teleport, Mass		TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation	SUBSCHOOL:Teleportation		COMPS:V, S	CASTTIME:1 full round	RANGE:Personal and touch	TARGETAREA:touched objects or touched willing creatures weighting up to 100 lb/level		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:See Text	DESC:Instantly transports you as far as 100 miles/casterlevel.	SOURCEPAGE:MoF										
Tortoise Shell			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Creates a 5-ft diameter mystic shell.		DURATION:10 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Large shell provides cover or shelter.	SOURCEPAGE:MoF										
Towering Oak			TYPE:Divine	CLASSES:Ranger=1		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:3 rounds/level	SAVEINFO:None	SPELLRES:No	DESC:+10 bonus on Intimidate checks.	SOURCEPAGE:MoF										
Transcribe Symbol			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Magical symbol touched.		DURATION:until expended or 10 minutes	SAVEINFO:See text	SPELLRES:See Text	DESC:Safely move an untriggered magical symbol to another location.	SOURCEPAGE:MoF										
Translocation Trick			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:You and one other creature		DURATION:10 minutes/level	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:You and target switch places and appear as each other.	SOURCEPAGE:MoF										
Tyrumael's Energy Spheres			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Acid|Cold|Electricity|Fire|Sonic	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Five floating spheres		DURATION:1 round/level	SAVEINFO:Reflex half (see text)	SPELLRES:Yes	DESC:Five colored spheres attack with or negate acid, cold, electricity, fire and sonic energy.	SOURCEPAGE:MoF										
Undead Bane Weapon			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched.		DURATION:1 hour/level	SAVEINFO:Will negates (harmless,object)	SPELLRES:Yes	DESC:Weapon gains the Bane property and is considered blessed.	SOURCEPAGE:MoF										
Undead Lieutenant			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One undead		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Targeted undead can give orders to undead in your control.	SOURCEPAGE:MoF										
Undead Torch			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One corporeal undead		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Undead creature gains blue area that gives +2d4 against living creatures.	SOURCEPAGE:MoF										
Undeath after Death			TYPE:Divine			SCHOOL:Necromancy			COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Willing living creature touched.		DURATION:Permanent until discharged	SAVEINFO:None; See Text	SPELLRES:No	DESC:-2 to Constitution, in exchange gaining the Crypt Spawn template at death.	SOURCEPAGE:MoF										
Undeath to Death			TYPE:Arcane.Divine	CLASSES:Cleric=6|Sorcerer,Wizard=6		SCHOOL:Necromancy			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Reveal undead creatures within a 50-ft radius burst.		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As Circle of Death, but only affecting undead.	SOURCEPAGE:MoF										
Undeath's Eternal Foe			TYPE:Divine			SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/5 levels.		DURATION:1 round/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Target receive Negative Energy Protection and immunity to most undead special attacks.	SOURCEPAGE:MoF										
Understand Device			TYPE:Divine			SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You can make untrained Disable Device checks, or gives +4 bonus if you have the skill.	SOURCEPAGE:MoF										
Vine Mine			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Spread of 10-ft radius/level		DURATION:10 minutes/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Vines grow rapidly, giving various effects.	SOURCEPAGE:MoF										
Vipergout			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Conjuration	SUBSCHOOL:Summoning		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:1d4+3 summoned creatures.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Spit forth celestial or fiendish vipers that attack your foes.	SOURCEPAGE:MoF										
Vision of Glory			TYPE:Divine	CLASSES:Cleric=1|Paladin=1		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 minute or until discharged	SAVEINFO:None	SPELLRES:Yes	DESC:Target gains +1 morale bonus on next saving throw.	SOURCEPAGE:MoF										
