#SOURCELONG:G	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																								
#																																										
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:										
#																																										
# modification																																										
CATEGORY=Special Ability|Animal Companion.MOD	COMPANIONLIST:Animal Companion|Fox	COMPANIONLIST:Animal Companion|Dinosaur (Swindlespitter)|PRECLASS:1,Druid=1	COMPANIONLIST:Animal Companion|Dinosaur (Fleshraker)|FOLLOWERADJUSTMENT:-3|PRECLASS:1,Druid=4	COMPANIONLIST:Animal Companion|Dinosaur (Bloodstriker),Sea Tiger|FOLLOWERADJUSTMENT:-9|PRECLASS:1,Druid=10,Ranger=20	COMPANIONLIST:Animal Companion|Mastodon|FOLLOWERADJUSTMENT:-15|PRECLASS:1,Druid=16																																					
Fling	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:EXD										
Flirtation	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day|FlirtationPerDay				DEFINE:FlirtationPerDay|0																								SOURCEPAGE:PGtF										
Flirtation ~ Suggestion (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES	OUTPUTNAME:Suggestion (Sp)																												SOURCEPAGE:PGtF										
Floating Head	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM3										
Flyblown	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:SS										
Flyby Attack	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Any creature mounted is treated as having the Fly By Attack feat.																												SOURCEPAGE:Drac										
Flying Mount ~ Deadly Charge	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+2d6 during a charge.																												SOURCEPAGE:EXD										
Flying Mount ~ Improved Fly Speed	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:MOVEADD|TYPE.Fly|10																					SOURCEPAGE:EXD										
Flying Mount ~ Improved Natural Attacks	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Improved Natural Attacks							BONUS:WEAPONPROF=TYPE.Natural|DAMAGESIZE|1																					SOURCEPAGE:EXD										
Flying Skyward	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Focused Dispel	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:+2 to any casterl level check made to dispel magic.																												SOURCEPAGE:MoF										
Focused Movement	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM2										
Fog Cloud (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialAttack	VISIBLE:YES					DEFINE:FogCloudPerDay|0	DEFINE:FogCloudLVL|0										SPELLS:Innate|TIMES=FogCloudPerDay|CASTERLEVEL=FogCloudLVL|Fog Cloud													SOURCEPAGE:FFo										
Foil Blindsense	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day|FoilBlindsensePerDay				DEFINE:FoilBlindsensePerDay|0																								SOURCEPAGE:Drac										
Follow the Guide	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CD										
For Medicinal Purpose (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	DESC:%1/day|MedicinalPurposePerDay				DEFINE:MedicinalPurposePerDay|0																								SOURCEPAGE:CW										
Forbidden Knowledge	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:+%1|ForbiddenKnowledge				DEFINE:ForbiddenKnowledge|0			BONUS:VAR|ForbiddenKnowledge|INT																					SOURCEPAGE:Nep										
Force Armor	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+2 bonus to Force spells that provide armor or shield bonus.																												SOURCEPAGE:CA										
Force Carapace	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality.ModifyAC	VISIBLE:YES								BONUS:COMBAT|AC|10|TYPE=Deflection	BONUS:CHECKS|ALL|8|TYPE=Resistance							ABILITY:Special Ability|AUTOMATIC|Immunity To Magic Missile													SOURCEPAGE:MM3										
Force Charged Energy	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PH										
Force Resistant	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	DESC:You gain +%1 bonus on saving throws against force-based effects|ForceResistantBonus		ASPECT:Resistance|Force	ASPECT:Ability Benefit|%1|ForceResistantBonus	DEFINE:ForceResistantBonus|0																								SOURCEPAGE:MM2										
Force Shapechange	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CD										
Force Specialization	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:+%1 attack / +%2/die or +1 damage with spells with Force descriptor.|ForceSpecializationBonus|ForceSpecializationDamage				DEFINE:ForceSpecializationBonus|2	DEFINE:ForceSpecializationDamage|1																							SOURCEPAGE:CA										
Force Web	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:Nep										
Forced Symbiosis	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:Drac										
ForeSeeing	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:RLCoD										
Forest Adaptation	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:ignore any concealment provided by foliage.																																						
Forest Dweller	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:SKILL|Listen,Move Silently,Spot,Survival|2|TYPE=Racial																					SOURCEPAGE:EXD										
Forgetful Fog	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES					DEFINE:ForgetfulFogPerDay|0																								SOURCEPAGE:Nep										
Form Consumption	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:permanent 1d4 charisma drain.																												SOURCEPAGE:LM										
Fortification	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Light|PREVAREQ:FortificationPower,1	DESC:Medium|PREVAREQ:FortificationPower,2	DESC:Heavy|PREVAREQ:FortificationPower,3		DEFINE:FortificationPower|0																								SOURCEPAGE:CA										
Foster Dragon	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES		FOLLOWERS:Foster Dragon|1			DEFINE:FosterDragon|0			COMPANIONLIST:Foster Dragon|Dragon (Black Wyrmling)|PREALIGN:CE	COMPANIONLIST:Foster Dragon|Dragon (Blue Wyrmling)|PREALIGN:LE	COMPANIONLIST:Foster Dragon|Dragon (Green Wyrmling)|PREALIGN:LE	COMPANIONLIST:Foster Dragon|Dragon (Red Wyrmling)|PREALIGN:CE	COMPANIONLIST:Foster Dragon|Dragon (White Wyrmling)|PREALIGN:CE	COMPANIONLIST:Foster Dragon|Dragon (Brass Wyrmling)|PREALIGN:CG	COMPANIONLIST:Foster Dragon|Dragon (Bronze Wyrmling)|PREALIGN:LG	COMPANIONLIST:Foster Dragon|Dragon (Copper Wyrmling)|PREALIGN:CG	COMPANIONLIST:Foster Dragon|Dragon (Gold Wyrmling)|PREALIGN:LG	COMPANIONLIST:Foster Dragon|Dragon (Silver Wyrmling)|PREALIGN:LG	COMPANIONLIST:Foster Dragon|Dragon (Amethyst Wyrmling)|PREALIGN:TN	COMPANIONLIST:Foster Dragon|Dragon (Crystal Wyrmling)|PREALIGN:CN	COMPANIONLIST:Foster Dragon|Dragon (Emerald Wyrmling)|PREALIGN:LN	COMPANIONLIST:Foster Dragon|Dragon (Sapphire Wyrmling)|PREALIGN:LN	COMPANIONLIST:Foster Dragon|Dragon (Topaz Wyrmling)|PREALIGN:CN							SOURCEPAGE:Drac										
Free Movement	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Constant Freedom Of Movement																												SOURCEPAGE:CAd										
Freedom of Movement (Sp always active)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	DESC:always active																												SOURCEPAGE:EXD										
Freedom of Movement (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:FreedomOfMovementTimes|0	DEFINE:FreedomOfMovementLVL|0										SPELLS:Innate|TIMES=FreedomOfMovementTimes|CASTERLEVEL=FreedomOfMovementLVL|Freedom of Movement,14+WIS													SOURCEPAGE:CW										
Freedom of Movement (Su)	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural.ModifyMovement	VISIBLE:YES		OUTPUTNAME:Freedom of Movement																											SOURCEPAGE:Drac										
Freedom of Movement (Su/rounds)	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1 rounds|FreedomOfMovementDuration	OUTPUTNAME:Freedom of Movement			DEFINE:FreedomOfMovementDuration|max(1,WIS)																								SOURCEPAGE:CAd										
Freeze (Ex)	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+1d6 Cold damage with weapon or natural attack.																												SOURCEPAGE:MM3										
Freezing Blood	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Fro										
Freezing Gaze	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack.Gaze	VISIBLE:YES	DESC:Fort DC %1|FreezingGazeDC		SERVESAS:ABILITY=Special Ability|Gaze		DEFINE:FreezingGazeDC|10+(TL/2)+CHA			BONUS:VAR|FreezingGazeDC|2|PREFEAT:1,Ability Focus(Freezing Gaze)																					SOURCEPAGE:MM3										
Freezing Touch	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural.AbilityFocus	VISIBLE:YES																													SOURCEPAGE:Drac										
Freezing Touch ~ Ice Drake	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural	VISIBLE:YES	DESC:Claw attack deals %1d%2 cold damage and %3 Str damage (%4 Fort DC)|FreezingTouch|FreezingTouchDie|FreezingTouchStrDamage|FreezingTouchDC	OUTPUTNAME:Freezing Touch	SERVESAS:ABILITY=Special Ability|Freezing Touch		DEFINE:FreezingTouch|0	DEFINE:FreezingTouchDie|6	DEFINE:FreezingTouchStrDamage|0	DEFINE:FreezingTouchDC|10+CON+(HD/2)	BONUS:VAR|FreezingTouchDC|2|PREFEAT:1,Ability Focus(Freezing Touch)																				SOURCEPAGE:Drac										
Frenzied Charge	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:FFo										
Frenzy	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialAttack.Rage	VISIBLE:YES	DESC:%1 times/day (%2 rounds)|FrenzyTimes|FrenzyDuration|PREVARGT:FrenzyTimes,0|PREVARLT:GreaterFrenzy,1	DESC:Greater Frenzy, %1 times/day (%2 rounds)|FrenzyTimes|FrenzyDuration|PREMULT:2,[PREVARGTEQ:GreaterFrenzy,1],[PREVARLT:TirelessFrenzy,1]	DESC:Tireless Frenzy, %1 times/day without fatigue (%2 rounds)|FrenzyTimes|FrenzyDuration|PREMULT:2,[PREVARGTEQ:TirelessFrenzy,1],[PREVARLT:MightyFrenzy,1]	DESC:Mighty Frenzy, %1 times/day without fatigue (%2 rounds)|FrenzyTimes|FrenzyDuration|PREVARGTEQ:MightyFrenzy,1	DESC:Fearless Frenzy, %1  times/day immune to fear-based effects (%2 rounds)|FrenzyTimes|FrenzyDuration|FrenzyTimes|FrenzyDuration|PREVARGTEQ:FearlessFrenzy,1	DEFINE:FrenzyTimes|0	DEFINE:FrenzyDuration|0	DEFINE:FrenzyConBonus|0	DEFINE:FrenzyStrBonus|0	DEFINE:FrenzyACPenalty|0	DEFINE:FrenzyMorale|0	DEFINE:Frenzied|0	DEFINE:FrenzyBonus|0	DEFINE:FearlessFrenzy|0	DESC:Bonuses when enraged (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|FrenzyStrBonus|FrenzyConBonus|FrenzyMorale|FrenzyACPenalty|(FrenzyConBonus/2)*TL					BONUS:CHECKS|Will|FrenzyMorale|PREAPPLY:PC	BONUS:COMBAT|AC|-1*(FrenzyACPenalty)|PREAPPLY:PC	BONUS:STAT|CON|FrenzyConBonus|PREAPPLY:PC	BONUS:STAT|STR|FrenzyStrBonus|PREAPPLY:PC	BONUS:VAR|FrenzyDuration|CON+3+(FrenzyConBonus/2)	BONUS:VAR|FrenzyConBonus|FrenzyBonus	BONUS:VAR|FrenzyStrBonus|FrenzyBonus	BONUS:VAR|FrenzyACPenalty|2	BONUS:VAR|FrenzyMorale|FrenzyBonus/2	BONUS:VAR|FrenzyDuration|-(FrenzyConBonus/2)|PREAPPLY:PC	BONUS:VAR|Frenzied|1|PREAPPLY:PC	BONUS:VAR|FrenzyBonus|2|PREVARGTEQ:GreaterFrenzy,1	BONUS:VAR|FrenzyBonus|2|PREVARGTEQ:MightyFrenzy,1							
Frightful Attack	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day|FrightfulAttackPerDay				DEFINE:FrightfulAttackPerDay|0																								SOURCEPAGE:CAd										
Frightful Cleave	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:CAd										
Frightful Keening	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:Will DC %1|FrightfulKeeningDC				DEFINE:FrightfulKeeningDC|10+(HD/2)+CHA																								SOURCEPAGE:MM3										
Frightful Rage	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Will DC %1 or panic|FrightfulRageDC				DEFINE:FrightfulRageDC|10+CHA																								SOURCEPAGE:Nep										
Frigid Touch	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:Fro										
Frost Giant Mauler Fast Movement	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:MOVEADD|TYPE.Walk|10																					SOURCEPAGE:Fro										
Frost Glance	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:4d6 cold damage (Fort DC %1)|FrostGlanceDC				DEFINE:FrostGlanceDC|10+(HD/2)+CHA																								SOURCEPAGE:Fro										
Frost Greataxe	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES	DESC:%1 rounds/day|FrostGreataxeDuration				DEFINE:FrostGreataxeDuration|0																								SOURCEPAGE:Fro										
Frost Touch	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:Fro										
Frost Touch (Su)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:Fro										
Frostbite	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Fort DC %1|FrostbiteDC				DEFINE:FrostbiteDC|10+(HD/2)+CON																								SOURCEPAGE:Fro										
Frostfell Awareness	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+%1 competence bonus on Initiative, Listen and Spot checks in frosfell.|FrostfellAwarenessBonus				DEFINE:FrostfellAwarenessBonus|0																								SOURCEPAGE:Fro										
Frostfell Creature Insight	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+2 insight bonus on attack and damage rolls against all creaturewith the cold subtype.																												SOURCEPAGE:Fro										
Frostfire Shield	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:LM										
Frostrage	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:+%1 natural armor bonus to AC when enraged coating his body with glittering crust of ice.|FrostrageACBonus				DEFINE:FrostrageACBonus|0																								SOURCEPAGE:Fro										
Frosty Touch	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1 cold damage|FrostyTouchDamage				DEFINE:FrostyTouchDamage|1																								SOURCEPAGE:Fro										
Frozen Fist	CATEGORY:Special Ability	TYPE:PsiLike.SpecialAttack	VISIBLE:YES	DESC:%1 rounds/day|FrozenFistDuration				DEFINE:FrozenFistDuration|0																								SOURCEPAGE:Fro										
Frozen Skin	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES								BONUS:COMBAT|AC|2|TYPE=NaturalArmor																					SOURCEPAGE:Fro										
Frozen Stare	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:Fort DC %1|FrozenStareDC				DEFINE:FrozenStareDC|10+(HD/2)+CHA																								SOURCEPAGE:Fro										
Full Attack Telekinesis	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Full Mounted Attack	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Full Vision	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.Vision	VISIBLE:DISPLAY	ABILITY:Special Ability|VIRTUAL|Full Vision Output|PREVARLTEQ:FullVisionPower,1	ABILITY:Special Ability|VIRTUAL|Full Vision Arcane Sight Output|PREVAREQ:FullVisionPower,2	ABILITY:Special Ability|VIRTUAL|Full Vision True Seeing Output|PREVARGTEQ:FullVisionPower,3		DEFINE:FullVisionPower|0	DEFINE:SeeInvisibilityRadius|0	DEFINE:ArcaneSightRadius|0																						SOURCEPAGE:PGtFwe										
Full Vision Arcane Sight Output	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.Vision	VISIBLE:EXPORT	OUTPUTNAME:Full Vision (Arcane Sight)	DESC:%1 feet radius Arcane Sight|ArcaneSightRadius																											SOURCEPAGE:PGtFwe										
Full Vision Output	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.Vision	VISIBLE:EXPORT	OUTPUTNAME:Full Vision (See Invisibility)	DESC:%1 feet radius See Invisibility|SeeInvisibilityRadius																											SOURCEPAGE:PGtFwe										
Full Vision True Seeing Output	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.Vision	VISIBLE:EXPORT	OUTPUTNAME:Full Vision (True Seeing)																												SOURCEPAGE:PGtFwe										
Fungus	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack.AbilityFocus	VISIBLE:YES	DESC:Fort DC %1|FungusDC				DEFINE:FungusDC|10+CON+(HD/2)				BONUS:VAR|FungusDC|2|PREFEAT:1,Ability Focus(Fungus)																				SOURCEPAGE:MM2										
Fungus Armor	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality.ModifyAC	VISIBLE:YES								BONUS:COMBAT|AC|6|TYPE=Armor																					SOURCEPAGE:LoM										
Furious Casting	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:EXD										
Fury	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary.Rage	VISIBLE:YES	DESC:%1 times/day (%2 rounds)|FuryTimes|FuryDuration|PREVARGT:FuryTimes,0	DESC:Bonuses when furious (STR +%1, AC -%4)|FuryStrBonus|FuryACPenalty	SERVESAS:ABILITY=Special Ability|Rage		DEFINE:FuryTimes|0	DEFINE:FuryDuration|0		DEFINE:FuryStrBonus|0	DEFINE:FuryACPenalty|0		DEFINE:Furied|0	DEFINE:FuryBonus|2		BONUS:COMBAT|AC|-1*(FuryACPenalty)|PREAPPLY:PC		BONUS:STAT|STR|FuryStrBonus|PREAPPLY:PC	BONUS:VAR|BattleFuryDuration|1		BONUS:VAR|FuryStrBonus|2*FuryBonus	BONUS:VAR|FuryACPenalty|2			BONUS:VAR|Furied|1|PREAPPLY:PC						SOURCEPAGE:PH										
Fury of the Tigress	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialAttack.Rage	VISIBLE:YES			DEFINE:FuryOfTigressTimes|0	DEFINE:FuryOfTigressDuration|0	DEFINE:FuryOfTigressConBonus|0	DEFINE:FuryOfTigressStrBonus|0	DEFINE:FuryOfTigressACPenalty|0	DEFINE:FuryOfTigressMorale|0	DEFINE:Furied|0	DEFINE:FuryOfTigressBonus|4	DESC:%1 times/day (%2 rounds)|FuryOfTigressTimes|FuryOfTigressDuration|PREVARGT:FuryOfTigressTimes,0|PREVARLT:GreaterFuryOfTigress,1	DESC:Greater Fury of the Tigress, %1 times/day (%2 rounds)|FuryOfTigressTimes|FuryOfTigressDuration|PREMULT:2,[PREVARGTEQ:GreaterFuryOfTigress,1],[PREVARLT:TirelessFuryOfTigress,1]	DESC:Tireless Fury of the Tigress, %1 times/day without fatigue (%2 rounds)|FuryOfTigressTimes|FuryOfTigressDuration|PREMULT:2,[PREVARGTEQ:TirelessFuryOfTigress,1],[PREVARLT:MightyFuryOfTigress,1]	DESC:Mighty Fury of the Tigress, %1 times/day without fatigue (%2 rounds)|FuryOfTigressTimes|FuryOfTigressDuration|PREVARGTEQ:MightyFuryOfTigress,1	DESC:Bonuses when furied (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|FuryOfTigressStrBonus|FuryOfTigressConBonus|FuryOfTigressMorale|FuryOfTigressACPenalty|(FuryOfTigressConBonus/2)*TL	BONUS:CHECKS|Will|FuryOfTigressMorale|PREAPPLY:PC	BONUS:COMBAT|AC|-1*(FuryOfTigressACPenalty)|PREAPPLY:PC	BONUS:STAT|CON|FuryOfTigressConBonus|PREAPPLY:PC	BONUS:STAT|STR|FuryOfTigressStrBonus|PREAPPLY:PC	BONUS:VAR|FuryOfTigressDuration|CON+3+(FuryOfTigressConBonus/2)	BONUS:VAR|FuryOfTigressConBonus|FuryOfTigressBonus	BONUS:VAR|FuryOfTigressStrBonus|FuryOfTigressBonus	BONUS:VAR|FuryOfTigressACPenalty|2	BONUS:VAR|FuryOfTigressMorale|FuryOfTigressBonus/2	BONUS:VAR|FuryOfTigressDuration|-(FuryOfTigressConBonus/2)|PREAPPLY:PC	BONUS:VAR|Furied|1|PREAPPLY:PC	BONUS:VAR|FuryOfTigressBonus|2|PREVARGTEQ:GreaterFuryOfTigress,1	BONUS:VAR|RageBonus|2|PREVARGTEQ:MightyFuryOfTigress,1	SOURCEPAGE:PGtF										
Gain Knowledge	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Fro										
Gallop	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM2										
Gambler's Luck	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:%1/day|GamblerLuck			DEFINE:GamblerLuck|0				BONUS:VAR|GamblerLuck|1																					SOURCEPAGE:DD										
Gangrenous Stench	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Fort DC %1|GangrenousStenchDC				DEFINE:GangrenousStenchDC|10+(HD/2)+CHA																								SOURCEPAGE:LM										
Gangrenous Touch	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Fort DC %1|GangrenousTouchDC				DEFINE:GangrenousTouchDC|10+(HD/2)+CHA																								SOURCEPAGE:LM										
Gaseous	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:FFo										
Gaseous Form (Ex)	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:You have theextraordinary ability to take the form of a cloud of vapor or gas	OUTPUTNAME:Gaseous Form																											SOURCEPAGE:Mon										
Gaze ~ Tulani	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:Slay evil creature of 5HD or fewer. Will DC %1|SlayEvilGazeDC	OUTPUTNAME:Gaze	SERVESAS:ABILITY=Special Ability|Gaze		DEFINE:SlayEvilGazeDC|10+CHA+(HD/2)				BONUS:VAR|SlayEvilGazeDC|2|PREFEAT:1,Ability Focus(Gaze)																				SOURCEPAGE:EXD										
Geas (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:GeasPerDay|0	DEFINE:GeasLVL|0										SPELLS:Innate|TIMES=GeasPerDay|CASTERLEVEL=GeasLVL|Geas/Quest													SOURCEPAGE:SS										
Gem Magic	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																AUTO:FEAT|Attune Gem													SOURCEPAGE:MoF										
Generate Oniric Children	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES																													SOURCEPAGE:Nep										
Ghost Hunter Turning	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO								BONUS:VAR|TurnTimesBase|3+CHA|TYPE=Base	BONUS:VAR|TurnCheckBase|CHA|TYPE=Base																				SOURCEPAGE:RLPHB										
Ghost Mind	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:to detect the caster must make a casterlevel check DC %1|GhostMindDC				DEFINE:GhostMindDC|20																								SOURCEPAGE:CAd										
Ghost of the Past	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Nep										
Ghost Sight	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality.Sense	VISIBLE:YES	DESC:See invisible and ethereal.																												SOURCEPAGE:CAd										
Ghost Step	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:Invisible|PREVARLTEQ:GhostStepPower,1	DESC:Ethereal|PREVARGTEQ:GhostStepPower,2			DEFINE:GhostStepPower|0																								SOURCEPAGE:CAd										
Ghost Step (Ki)	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:EXPORT	DESC:1 ki/rnd 																												SOURCEPAGE:CAd										
Ghost Step (Su)	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:EXPORT	DESC:%1/day|GhostStepPerDay				DEFINE:GhostStepPerDay|0																								SOURCEPAGE:CAd										
Ghost Strike	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:1 ki use.																												SOURCEPAGE:CAd										
Ghost Touch	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Mon										
Ghost Touch Attacks	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:FFo										
