SOURCELONG:Monster Manual 3	SOURCESHORT:MM3	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|					Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								
Giant (Eldritch)	OUTPUTNAME:[NAME] Giant		STARTFEATS:1	SIZE:H	MOVE:Walk,50	FACE:15	REACH:15	VISION:Low-light			LANGAUTO:Abyssal,Common,Giant,Terran		BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|32	BONUS:STAT|DEX|2	BONUS:STAT|CON|18	BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|2			MONCSKILL:Concentration|Diplomacy|Knowledge (Arcana)|Knowledge (Religion)|Knowledge (The Planes)|Listen|Sense Motive|Spellcraft|Spot	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Light|SHIELDTYPE=Heavy	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium|ARMORTYPE=Heavy	AUTO:WEAPONPROF|TYPE.Martial|TYPE.Simple						LEGS:2	HANDS:2							ABILITY:Special Ability|AUTOMATIC|Eldritch Mastery|Natural Willpower								MONSTERCLASS:Giant:25	RACETYPE:Giant		TYPE:Giant	TEMPLATE:Giant						CR:15	SOURCEPAGE:MM3	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Detect Magic|Dispel Magic (Greater)|Magic Missile	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Dimension Door|Globe of Invulnerability							
Giant (Sand)	OUTPUTNAME:[NAME] Giant	FAVCLASS:Fighter	STARTFEATS:1	SIZE:L	MOVE:Walk,40,Burrow,10	FACE:10	REACH:10	VISION:Low-light			LANGAUTO:Common,Giant	LANGBONUS:Draconic,Elven,Goblin,Orc	BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16	BONUS:STAT|DEX|10	BONUS:STAT|CON|10		BONUS:STAT|WIS|6	BONUS:STAT|CHA|2			MONCSKILL:Hide|Knowledge (Nature)|Listen|Spot|Survival	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Light|SHIELDTYPE=Heavy	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium	AUTO:WEAPONPROF|TYPE.Martial|TYPE.Simple|Sand Blaster			CHANGEPROF:Sand Blaster=Martial			LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Heat Shimmer				ABILITY:Special Ability|AUTOMATIC|Sand Giant Skills					MONSTERCLASS:Giant:15	RACETYPE:Giant	RACESUBTYPE:Earth|Fire	TYPE:Giant	TEMPLATE:Giant		TEMPLATE:Earth|Fire			LEVELADJUSTMENT:4	CR:10	SOURCEPAGE:MM3	SPELLS:Innate|TIMES=1|CASTERLEVEL=15|Meld into Stone|Statue								
Glaistig			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Swim,50	FACE:5	REACH:5	VISION:Low-light		PREALIGN:CN	LANGAUTO:Common,Elven,Sylvan		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Bluff,Sense Motive|8|TYPE=Racial				BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8			MONCSKILL:Bluff|Diplomacy|Disguise|Escape Artist|Hide|Intimidate|Knowledge (Nature)|Listen|Move Silently|Sense Motive|Spot|Swim|Use Rope			AUTO:WEAPONPROF|Dagger						LEGS:2	HANDS:2				NATURALATTACKS:Beak,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Beguiling Song|Blood Drain ~ Glaistig	ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Resistance To Fire|Water Breathing|Water Symbiosis			ABILITY:Special Ability|AUTOMATIC|Glaistig Skills			DR:5/Cold Iron		MONSTERCLASS:Fey:6	RACETYPE:Fey		TYPE:Fey	TEMPLATE:Fey					LEVELADJUSTMENT:4	CR:6	SOURCEPAGE:MM3	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Dancing Lights|Fog Cloud|Hypnotism,11+CHA|Suggestion,13+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=8|Water Breathing	BONUS:VAR|ColdResistanceBonus|10	BONUS:VAR|FireResistanceBonus|10					
Gnoll (Flind)	OUTPUTNAME:Gnoll, [NAME]	FAVCLASS:Ranger	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Gnoll,Common	LANGBONUS:Draconic,Elven,Goblin,Orc	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6	BONUS:STAT|DEX|2	BONUS:STAT|CON|4						MONCSKILL:Listen|Spot	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Light	AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|TYPE.Simple|Flindbar			CHANGEPROF:Flindbar=Martial			LEGS:2	HANDS:2										ABILITY:Special Ability|AUTOMATIC|Gnoll Flind Skills					MONSTERCLASS:Humanoid (Fortitude):2	RACETYPE:Humanoid	RACESUBTYPE:Gnoll	TYPE:Humanoid	TEMPLATE:Humanoid					LEVELADJUSTMENT:2	CR:2	SOURCEPAGE:MM3									
Goatfolk		FAVCLASS:Barbarian	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Common,Ibixian	LANGBONUS:Elven,Giant,Gnome,Goblin,Sylvan	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Intimidate|4|TYPE=Racial				BONUS:STAT|STR|4		BONUS:STAT|CON|2	BONUS:STAT|INT|-2	BONUS:STAT|WIS|-2				MONCSKILL:Intimidate|Listen|Spot		AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|TYPE.Simple|Greataxe						LEGS:2	HANDS:2	BONUS:WEAPONPROF=Head butt|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Head butt,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6			ABILITY:Special Ability|AUTOMATIC|Pack Fervor ~ Ibixian								MONSTERCLASS:Monstrous Humanoid:3	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid				HITDICEADVANCEMENT:6,9	LEVELADJUSTMENT:1	CR:2	SOURCEPAGE:MM3									
Goblin (Forestkith)	OUTPUTNAME:Gobilin, [NAME]	FAVCLASS:Barbarian	STARTFEATS:1	SIZE:S	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Goblin	LANGBONUS:Common,Elven,Giant,Orc	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Jump|2|TYPE=Racial	BONUS:SKILL|Climb|8|TYPE=Racial			BONUS:STAT|STR|-2	BONUS:STAT|DEX|2				BONUS:STAT|CHA|-2									CHANGEPROF:Net=Martial			LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Discordant Frenzy	ABILITY:Special Ability|AUTOMATIC|Light Sensitivity|Tree Shape			ABILITY:Special Ability|AUTOMATIC|Goblin Forestkith Skills						RACETYPE:Humanoid	RACESUBTYPE:Goblinoid	TYPE:Humanoid	TEMPLATE:Humanoid					LEVELADJUSTMENT:1	CR:1/2	SOURCEPAGE:MM3		DEFINE:IllteracyLVL|0	BONUS:VAR|IllteracyLVL|HD	ABILITY:Special Ability|VIRTUAL|Illiteracy|PREVAREQ:TL,IlliteracyLVL					
Golem (Alchemical)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,20	FACE:10	REACH:10	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|16|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|2				BONUS:STAT|CHA|-10												LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Acid,*2,2d8		ABILITY:Special Ability|AUTOMATIC|Acidic Touch|Berserk|Breath Weapon ~ Cone of Acid	ABILITY:Special Ability|AUTOMATIC|Alchemical Healing|Immunity To Magic|Rupture						DR:10/Adamantine	DR:20/Piercing or Slashing	MONSTERCLASS:Construct (Mindless):22	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless				HITDICEADVANCEMENT:33,44		CR:11	SOURCEPAGE:MM3		BONUS:VAR|AcidicTouchDice|2	DEFINE:AcidicTouchDamageDie|6	BONUS:VAR|BreathWeaponCone|15	BONUS:VAR|BreathWeaponDice|5	DEFINE:BreathWeaponDamageDie|6			
Golem (Gloom)	OUTPUTNAME:[NAME], Golem			SIZE:L	MOVE:Walk,30	FACE:10	REACH:10	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Move Silently|-10				BONUS:STAT|STR|8	BONUS:STAT|DEX|4				BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple|TYPE.Chain|Chain (Spiked)						LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Crushing Despair|Touch of Woe	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic						DR:10/Good		MONSTERCLASS:Construct (Mindless):8	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless	TEMPLATE:Extraplanar	TEMPLATE:Evil		HITDICEADVANCEMENT:12,16		CR:7	SOURCEPAGE:MM3									
Golem (Hangman)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,30	FACE:10	REACH:20	VISION:Darkvision (60')|Low-light		PREALIGN:NE			BONUS:COMBAT|AC|16|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16	BONUS:STAT|DEX|4				BONUS:STAT|CHA|-10												LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d8		ABILITY:Special Ability|AUTOMATIC|Constrict|Improved Grab|Rope Whirlwind|Strangle	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic|Unravel|Vulnerability To Fire						DR:10/Adamantine		MONSTERCLASS:Construct (Mindless):18	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless				HITDICEADVANCEMENT:27,36		CR:13	SOURCEPAGE:MM3									
Golem (Mud)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,20,Swim,20	FACE:10	REACH:10	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|-2				BONUS:STAT|CHA|-10												LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d10		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Spray of Slippery Mud|Engulf	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic			ABILITY:Special Ability|AUTOMATIC|Mud Golem Skills			DR:10/Adamantine and Bludgeoning		MONSTERCLASS:Construct (Mindless):15	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless				HITDICEADVANCEMENT:22,30		CR:11	SOURCEPAGE:MM3		BONUS:VAR|BreathWeaponCone|15							
Golem (Prismatic)	OUTPUTNAME:[NAME], Golem			SIZE:L	MOVE:Fly,50	FACE:10	REACH:5	VISION:Blindsight (60')|Darkvision (60')|Low-light		PREALIGN:NG				BONUS:COMBAT|AC|16|TYPE=Deflection						BONUS:STAT|DEX|33																LEGS:2	HANDS:2				NATURALATTACKS:Incorporeal touch,Weapon.Natural.Melee.Finesseable.Piercing,*2,0		ABILITY:Special Ability|AUTOMATIC|Prismatic Body|Prismatic Touch	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic|Code of Conduct ~ Prismatic Golem				ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability		DR:10/Evil		MONSTERCLASS:Construct (Mindless):20	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless|Incorporeal	TEMPLATE:Extraplanar	TEMPLATE:Good		HITDICEADVANCEMENT:30,40		CR:18	SOURCEPAGE:MM3		BONUS:VAR|Maneuverability|5							
Golem (Shadesteel)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,30,Fly,30	FACE:10	REACH:10	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|20|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|6				BONUS:STAT|CHA|-4												LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Negative Pulse Wave	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic				ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability		DR:10/Adamantine and Magic		MONSTERCLASS:Construct (Mindless):18	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless	TEMPLATE:Extraplanar			HITDICEADVANCEMENT:26,40,54		CR:11	SOURCEPAGE:MM3		BONUS:VAR|Maneuverability|5							
Golem (Web)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,30	FACE:10	REACH:15	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|6				BONUS:STAT|CHA|-10												LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d10|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Poison,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Poison|Web	ABILITY:Special Ability|AUTOMATIC|Adhesive|Fast Healing|Immunity To Magic|Spider Climb|Vulnerability To Fire			ABILITY:Special Ability|AUTOMATIC|Web Golem Skills			DR:10/Adamantine		MONSTERCLASS:Construct (Mindless):11	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless				HITDICEADVANCEMENT:16,22		CR:7	SOURCEPAGE:MM3		BONUS:VAR|FastHealing|5							
Grimweird			STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5	VISION:Darkvision (60')|Low-light		PREALIGN:LE	LANGAUTO:Common	LANGBONUS:ALL	BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-6	BONUS:STAT|DEX|2		BONUS:STAT|INT|18	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10			MONCSKILL:Bluff|Concentration|Diplomacy|Gather Information|Handle Animal|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Sense Motive|Spellcraft									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Energy Drain	ABILITY:Special Ability|AUTOMATIC|Unholy Grace								MONSTERCLASS:Undead:12	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead					LEVELADJUSTMENT:3	CR:11	SOURCEPAGE:MM3	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Dispel Magic|Protection from Chaos|Protection from Evil|Protection from Good|Protection from Law	BONUS:VAR|EnergyDrainLevels|1	SPELLS:Innate|TIMES=1|TIMEUNIT=Minute|CASTERLEVEL=12|Planar Binding (Lesser),15+CHA|Summon Monster VI						
Grisgol				SIZE:L	MOVE:Walk,30	FACE:10	REACH:10	VISION:Darkvision (60')|Low-light		PREALIGN:TN			BONUS:COMBAT|AC|19|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8																	LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning.Paralysis,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Choking Dust|Damaging Touch|Paralyzing Touch	ABILITY:Special Ability|AUTOMATIC|Immunity To Magic|Incite Madness						DR:10/Piercing and Magic		MONSTERCLASS:Construct (Mindless):19	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless						CR:15	SOURCEPAGE:MM3	SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Chain Lightning,19|Feeblemind,17|Hold Person,14|Horrid Wilting,22|Ice Storm|Meteor Swarm,23|Power Word Blind|Scorching Ray|Shield|Touch of Fatigue,10	DEFINE:InciteMadnessDC|19							
Gulgar		FAVCLASS:Fighter	STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:10	VISION:Tremorsense (30')|Darkvision (60')			LANGAUTO:Terran		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen|4|TYPE=Racial	BONUS:SKILL|Spot|-4|TYPE=Racial			BONUS:STAT|STR|10	BONUS:STAT|DEX|-4	BONUS:STAT|CON|6		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Handle Animal|Intimidate|Listen|Ride|Spot	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Light|SHIELDTYPE=Heavy	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium	AUTO:WEAPONPROF|Warhammer|Longbow						LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6|Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Crystalline Bone|Sonic Pulse	ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic|Powerful Charge|Stability|Subsonic Speech						DR:10/Adamantine		MONSTERCLASS:Monstrous Humanoid:10	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Earth	TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid		TEMPLATE:Earth			LEVELADJUSTMENT:5	CR:9	SOURCEPAGE:MM3		BONUS:VAR|SonicPulseCone|15	BONUS:VAR|SonicPulseDice|3	DEFINE:SonicPulseDie|6					
Harpoon Spider			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Climb,20	FACE:10	REACH:5	VISION:Darkvision (120')			LANGAUTO:Common,Undercommon		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb,Jump|8|TYPE=Racial				BONUS:STAT|STR|6	BONUS:STAT|DEX|8	BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Balance|Climb|Hide|Jump|Spot|Tumble			AUTO:WEAPONPROF|Harpoon Spider Fang	AUTO:EQUIP|Harpoon Spider Fang|Harpoon Spider Fang	AUTO:FEAT|Improved Trip				LEGS:8	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Poison,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Harpooning|Poison	ABILITY:Special Ability|AUTOMATIC|Evasion|Spines|Web Movement			ABILITY:Special Ability|AUTOMATIC|Harpoon Spider Skills					MONSTERCLASS:Aberration:5	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration				HITDICEADVANCEMENT:8,15		CR:4	SOURCEPAGE:MM3		BONUS:VAR|EvasionUsable|1							
Harssaf		FAVCLASS:Monk	STARTFEATS:1	SIZE:M	MOVE:Walk,30,Burrow,10	FACE:5	REACH:5	VISION:Blindsense (30')			LANGAUTO:Ignan,Common	LANGBONUS:Draconic,Dwarven,Elven,Giant,Halfling,Orc,Terran	BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|4	BONUS:STAT|DEX|6	BONUS:STAT|CON|6			BONUS:STAT|CHA|2			MONCSKILL:Climb|Hide|Jump|Knowledge (Nature)|Listen|Move Silently|Spot		AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium	AUTO:WEAPONPROF|Kukri		AUTO:FEAT|Alertness|Lightning Reflexes				LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Flaming Aura (Su)|Sand Pulse	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Immunity To Blindness|Immunity To Fire|Sand Form|Vulnerability To Cold					SR:17	DR:5/Bludgeoning		MONSTERCLASS:Monstrous Humanoid:6	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Fire	TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid		TEMPLATE:Fire			LEVELADJUSTMENT:4	CR:5	SOURCEPAGE:MM3		BONUS:VAR|SandPulseRadius|30	BONUS:VAR|FastHealing|3						
Ironclad Mauler			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5	VISION:Darkvision (60')|Low-light					BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|22	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Listen|Spot		AUTO:ARMORPROF|Ironclad Armor		AUTO:EQUIP|Ironclad Armor					LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Sickening Aura|Trample	ABILITY:Special Ability|AUTOMATIC|Grafted Armor|Fortification								MONSTERCLASS:Magical Beast:15	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast				HITDICEADVANCEMENT:30,45		CR:9	SOURCEPAGE:MM3		BONUS:VAR|FortificationPower|1							
Justicator			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,90	FACE:10	REACH:10	VISION:Darkvision (60')		PREALIGN:LN	LANGAUTO:Abyssal,Celestial,Common,Infernal		BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|8	BONUS:STAT|CHA|2			MONCSKILL:Concentration|Diplomacy|Heal|Intimidate|Knowledge (The Planes)|Knowledge (Religion)|Listen|Sense Motive|Spellcraft|Spot|Survival		AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium	AUTO:WEAPONPROF|Greatsword						LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Smite Chaos	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis					SR:24	DR:10/Chaos		MONSTERCLASS:Outsider:17	RACETYPE:Outsider	RACESUBTYPE:Lawful	TYPE:Outsider	TEMPLATE:Outsider		TEMPLATE:Lawful		HITDICEADVANCEMENT:23,34		CR:13	SOURCEPAGE:MM3	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=10|Bless|Detect Chaos	BONUS:VAR|SmiteChaosToHit|1	BONUS:VAR|SmiteChaosDamage|HD	BONUS:VAR|SmiteChaos|4	SPELLS:Innate|TIMES=3|CASTERLEVEL=10|Cure Serious Wounds,13+CHA|Dimensional Anchor|Invisibility Purge|Silence,12+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=10|Dispel Chaos,15+CHA|Command (Greater),15+CHA|Plane Shift			
Kenku		FAVCLASS:Rogue	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Low-light			LANGAUTO:Common,Kenku	LANGBONUS:Auran,Dwarven,Gnome,Goblin,Halfling			BONUS:SKILL|Hide,Move Silently|2|TYPE=Racial				BONUS:STAT|STR|-2	BONUS:STAT|DEX|2																LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d3			ABILITY:Special Ability|AUTOMATIC|Great Ally|Mimicry									RACETYPE:Humanoid	RACESUBTYPE:Kenku	TYPE:Humanoid	TEMPLATE:Humanoid						CR:1/2	SOURCEPAGE:MM3									
Knell Beetle				SIZE:L	MOVE:Walk,50,Burrow,10	FACE:10	REACH:10	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Balance,Listen,Spot|8|TYPE=Racial				BONUS:STAT|STR|16		BONUS:STAT|CON|12						MONCSKILL:Balance|Jump|Listen|Spot					AUTO:FEAT|Alertness|Improved Natural Attack(Claw)|Lightning Reflexes|Multiattack|Weapon Focus(Claw)				LEGS:10	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Rend|Shake the Earth|Sonic Chime|Trample	ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic|Scent|Sonic Healing								MONSTERCLASS:Vermin:12	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Vermin|Mindless						CR:10	SOURCEPAGE:MM3		BONUS:VAR|SonicChimePerDay|1							
Knell Beetle (Lesser)	OUTPUTNAME:Knell Beetle, [NAME]			SIZE:M	MOVE:Walk,40,Burrow,10	FACE:10	REACH:10	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Balance,Listen,Spot|4|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|8						MONCSKILL:Balance|Jump|Listen|Spot					AUTO:FEAT|Alertness|Improved Natural Attack(Claw)|Multiattack				LEGS:10	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Rend|Screech ~ Lesser Knell Beetle|Shake the Earth|Sonic Chime|Trample	ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic|Scent|Sonic Healing								MONSTERCLASS:Vermin:6	RACETYPE:Vermin		TYPE:Vermin	TEMPLATE:Vermin|Mindless						CR:5	SOURCEPAGE:MM3		BONUS:VAR|SonicChimePerDay|1	BONUS:VAR|ScreechPerDay|1						
